,КМ,М,АМПЛИТУДА,HOPMA,КОДОТСТУП,ГОД,МЕСЯЦ,ДЕНЬ,СТЕПЕНЬ,ДЛИНА,ОТСТУПЛЕНИЕ
134,133,521,9.0,0,2129,2018,1,29,2,6,П
24481,452,118,8.0,0,2145,2020,2,17,1,3,Пр.П
18641,613,719,8.0,0,2145,2020,1,13,1,4,Пр.П
72422,283,11,7.0,0,2113,2019,6,11,2,2,У
79791,576,37,8.0,0,2161,2019,12,23,1,4,Пр.Л
25863,19,892,9.0,0,2145,2020,2,16,1,4,Пр.П
804,383,964,10.0,0,2129,2018,1,24,2,19,П
36280,638,655,10.0,0,2161,2020,4,13,1,4,Пр.Л
29360,533,435,8.0,0,2145,2020,3,27,1,3,Пр.П
18553,595,273,8.0,0,2145,2020,1,24,1,5,Пр.П
100934,635,577,12.0,0,2065,2021,2,20,2,18,Р
65474,222,506,7.0,0,2113,2019,1,19,2,3,У
63163,16,261,13.0,0,2129,2020,10,13,2,16,П
11863,376,97,8.0,0,2113,2018,8,6,2,6,У
18694,623,833,8.0,0,2145,2020,1,13,1,4,Пр.П
57882,162,40,9.0,0,2145,2020,9,29,1,3,Пр.П
87257,454,942,1518.0,1520,2097,2021,1,30,1,3,Суж
34672,584,271,8.0,0,2161,2020,4,12,1,4,Пр.Л
80242,645,430,10.0,0,2113,2019,12,12,2,3,У
74721,586,505,1529.0,1520,2081,2019,7,26,2,7,Уш
52054,391,486,7.0,0,2113,2020,8,31,2,2,У
73312,649,154,10.0,-18,2113,2019,6,8,2,3,У
99986,25,709,11.0,0,2129,2021,2,22,2,18,П
98057,271,261,8.0,0,2145,2021,2,22,1,3,Пр.П
32042,308,810,7.0,0,2113,2020,4,10,2,2,У
647,119,293,7.0,0,2113,2018,1,26,2,3,У
55555,5,305,8.0,0,2161,2020,8,28,1,3,Пр.Л
43344,463,435,8.0,0,2161,2020,6,26,1,4,Пр.Л
29137,419,710,8.0,0,2161,2020,3,27,1,6,Пр.Л
87323,472,857,1518.0,1520,2097,2021,1,30,1,2,Суж
96061,557,501,9.0,0,2129,2021,2,21,2,20,П
91524,637,134,7.0,0,2129,2021,1,29,1,7,П
95387,41,599,1526.0,1520,2081,2021,2,19,1,2,Уш
33970,256,202,10.0,0,2129,2020,4,14,2,15,П
50866,620,297,8.0,0,2145,2020,7,27,1,4,Пр.П
27481,544,485,9.0,0,2161,2020,3,25,1,6,Пр.Л
73409,631,621,21.0,0,2065,2019,6,3,2,21,Р
27842,603,795,11.0,0,2161,2020,3,25,2,4,Пр.Л
79145,172,299,11.0,0,2145,2019,12,22,2,5,Пр.П
36657,25,947,8.0,0,2161,2020,5,29,1,5,Пр.Л
